Glacier_ID,Region,Latitude,Longitude,Elevation_m,Area_2000_km2,Annual_Mass_Balance_mwe,Avg_Annual_Temp_C,Precipitation_mm,Meltwater_Discharge,Downstream_Pop_Risk_M,Water_Security_Index,SDG_13_Compliance,Observation_Status,Ice_Thickness_m,Debris_Cover_Perc,Albedo_Effect,Solar_Radiation,Distance_to_City_km,Net_Loss_Percentage,Region_Encoded,Status_Encoded,Sustainability_Cluster
GL-000000,Rockies,78.43065,-123.60874,0.9264582272925328,1.4447163713329862,-0.7174395569480057,0.6202359397227489,-0.9034316870131227,76.18862296300684,14.84075163523549,78.26582455186899,9.700508459516241,Stable,0.14247575596450698,33.66911670412438,0.20924017212370966,149.86762990892777,453.5085166129528,0.464300403773406,8,4,1
GL-000001,Alaska,75.78619,5.56175,-0.3816018922463336,-1.1900736667042917,-2.09071328952093,0.03379556336794213,0.22806003244136613,574.047327797517,2.8152927072001717,11.986040299893435,9.509259511973536,Rapidly Melting,-1.4983617078914164,73.88379104221792,0.7865436719579825,202.8502558139491,277.47682210924984,1.1001478914166345,0,2,3
GL-000002,Caucasus,-80.92494,169.26531,0.12116749272644828,0.16134963231148516,0.06240597224271216,0.586843956610332,-1.4639768800816018,83.55464626594441,9.993041008256547,91.85224299073555,3.6478358287367145,Receding,1.5539727938169714,13.707054729606805,0.36009561604893714,234.6767622206327,208.3901951123042,0.0,4,3,1
GL-000003,Antarctic,-58.84478,-122.14921,-1.3490161012263528,-0.32041934885839674,-2.576358663355047,0.8791678376972554,0.3716343867243811,16.46787140457991,11.804045753409195,34.13025650353749,4.991388952800798,Advancing,-0.6561769144589842,6.276326469284643,0.7054675385782887,233.93368377501653,66.57860916459504,6.346710497387798,3,0,0
GL-000004,Rockies,-64.88992,-89.78707,1.5411101964820229,1.5934827837627479,-1.2884536943374685,-0.18594617522915113,0.5515640320850853,8.641117078859446,0.5942245582594111,89.57679524680694,7.110919826782632,Disappeared,0.6667543797780336,56.06316197722903,0.17425899761379018,169.90681830930487,51.74456112585605,0.0,8,1,1
GL-000005,Urals,-39.37987,-13.64291,0.6897994214891938,-0.29091063454609917,-3.540445656612225,0.016668401153064876,1.0477345551607664,492.6645722883877,5.760033989797558,72.84411474337013,3.648367578998252,Advancing,-0.11164985130651454,13.137944064956319,0.24336377680556798,193.97318588264721,320.07892959479517,4.642781770835487,9,0,1
GL-000006,Alps,-53.2676,50.70267,-0.43270466399489355,-0.44958036798323064,-1.749390184716903,0.4743189858906694,0.026665344703413772,247.3531556504135,14.86160430657392,46.94543173122584,1.9612910758496271,Advancing,-1.2587440290635212,7.500030372461019,0.8092558976739608,113.18271473591977,310.6734763673201,2.3481490604773905,1,0,0
GL-000007,Rockies,80.25364,36.09,-0.3842729387648107,0.3032288998629074,-2.2966961539752884,0.4101823887697284,-1.1706066881885304,101.26132483572805,2.0806744150157694,63.07364813420393,9.272193148068096,Advancing,0.474043873884602,79.64918175464238,0.6329731170133538,351.25060523724784,308.6906423581103,3.410480638315769,8,0,2
GL-000008,Caucasus,-74.84932,7.63174,-1.4146827011959933,0.09788494706832326,-2.8434379930500158,-0.04288702779093645,-0.2955659843667165,462.75307852181675,9.04529782516127,40.86918006135036,8.179844957465711,Advancing,-0.23861302508178606,70.67199947389123,0.8810959174262268,313.8290135621854,45.59804646204078,2.6161815657573797,4,0,0
GL-000009,Antarctic,-51.89925,85.41656,-0.15240677772513483,-0.16507758010113815,-2.5727846995707084,-0.8449181867574141,1.6066189355428209,314.4879973119014,2.1781315715930893,61.349144915442714,8.208056020532151,Receding,-1.443313126714866,41.85445346904574,0.37427859675876085,235.45722831706328,270.86735537448266,0.0,3,3,2
GL-000010,Alaska,-75.46981,124.5404,0.5919974693682513,0.010392779246493664,-2.566959328489146,0.635905411639141,1.2790188437032233,347.1707099582483,7.2362010290347625,91.30872144172704,5.3232259741929475,Advancing,0.1558896882985688,81.71031971919858,0.8989903267371792,367.0825092847026,486.646335188702,5.16284364782346,0,0,1
GL-000011,Caucasus,86.46936,179.62809,1.554898950434207,-1.3949270641283635,-1.8213194677131042,-0.37926097111530854,1.6893998844792188,334.2666272025732,14.221451070187285,67.06576584210863,2.4868038780829798,Advancing,-0.4065300148721378,62.61071056648987,0.1351941701858489,235.08963556628652,348.3217287765329,0.0,4,0,2
GL-000012,Caucasus,75.31443,-12.4162,0.5043724755837034,1.5137132197820624,-0.20510163615578447,-0.13634538392232567,-0.27522619727290176,537.7755759262317,12.250407914942187,33.579453778549045,7.085761211073009,Advancing,-0.0386354015641888,50.19632155778916,0.1325797485480128,299.30144289741327,29.270773580634874,0.0,4,0,0
GL-000013,Alps,38.99369,178.18438,0.5151374813039888,-0.8666873907156482,-1.807878693227642,0.09486318123834858,1.0551510808831455,208.8979372848405,14.503912036449453,41.92687479280479,6.1272669201670595,Receding,1.138083839235605,22.965610502139132,0.7167918114266196,260.3428578919579,17.106230638792113,0.6843556299333589,1,3,0
GL-000014,Greenland,-13.32485,82.97979,0.9825928840128864,0.2452748932781015,-3.062613967152005,-0.10311032465336661,-1.1924091129188317,569.404712574094,1.9560436856627705,61.4940284583578,7.907764756306777,Disappeared,-0.4806376896333626,27.554285004848644,0.27502972667391357,117.52723976664481,102.86119071273644,2.8768547063641634,5,1,2
GL-000015,Antarctic,-55.76794,56.64303,0.029755926746951183,-1.613889111809495,-3.6889284881100153,0.5677488244855161,1.727455585138133,80.08887819782086,6.219138156689374,84.24995198420024,2.8806393783155735,Rapidly Melting,0.5911958363771651,39.44016821759712,0.3086680182024013,107.38405680813715,91.96167476875668,7.642657737729781,3,2,1
GL-000016,Andes,-50.13185,50.2859,-1.6156649137589543,-0.7091291391785581,-2.4269475918687693,0.057229908703221886,1.4612694857687925,356.1962306875148,8.24960573072218,23.051692738669846,2.2491937023440225,Stable,-0.21095626164942594,71.26080533775514,0.7769927704084089,127.47977399180985,16.829424353422677,2.052516123833846,2,4,3
GL-000017,Caucasus,-10.2528,147.86795,1.3389258200085488,0.6575589345157653,-3.2922345776708877,-0.6878258235429057,1.5393953443718165,432.66421942479894,4.444887832100699,47.44292897530443,2.4826946379779,Advancing,-0.4966896602100582,64.28396185243469,0.6800951212476887,320.5774834913495,478.52973759417193,0.6617971021730105,4,0,0
GL-000018,Greenland,48.28008,161.25635,-0.3399773612667831,-0.14687045756724323,-0.2390910075269601,1.5907769217944399,-1.5843915156234,383.40794085546173,9.44618299040483,43.36462443648967,7.056806356746456,Stable,-1.149685507822413,33.66399059345465,0.7076834872922666,308.5238091200504,409.97871329659193,3.8979364056028043,5,4,0
GL-000019,Andes,-42.34869,-115.7424,1.6655092620557148,0.8017435978791516,0.4774055472179688,1.6915169203121407,-0.27478953013953217,558.1781447749013,7.486240047766851,40.64529332982861,7.9702393584528695,Advancing,-0.29338389420065025,95.9168650326298,0.4818105032635738,144.153642965252,250.1998555735726,4.974255338975462,2,0,0
GL-000020,Antarctic,-34.05746,-2.36742,-0.32652060429630864,-1.196844377030131,-0.18143627265296347,-1.4697283844865043,0.5136520235091223,126.98034710231005,2.096199836931145,76.94927857384464,7.000819598309686,Receding,-1.3573639636623114,41.60411357514291,0.7650006505520673,108.3972955149128,232.7268115282911,0.0,3,3,1
GL-000021,Himalayas,17.98997,158.92195,0.575843691458479,1.698546323027074,-2.2689053327650037,0.6127151720216045,1.4176513995401574,452.1681029467021,2.826751891924198,14.622432850054585,9.551925279901191,Rapidly Melting,0.7401987270963999,5.7144709229628,0.7083100639274921,196.23941920046104,232.6436013039651,4.3070905730025935,6,2,3
